participant,type,jump_count,labels
P11,cmj-center,5,0
P11,dj-center,1,1
P11,dj-center,2,1
P11,dj-center,3,1
P11,dj-center,4,1
P11,dj-center,5,1
P12,cmj-center,1,0
P12,cmj-center,2,0
P12,cmj-center,3,0
P12,cmj-center,4,1
P12,cmj-center,5,0
P12,dj-center,1,1
P12,dj-center,2,1
P12,dj-center,3,1
P12,dj-center,4,1
P12,dj-center,5,1
P13,cmj-center,1,1
P13,cmj-center,2,0
P13,cmj-center,3,0
P13,cmj-center,4,0
P13,cmj-center,5,0
P13,dj-center,1,0
P13,dj-center,2,0
P13,dj-center,3,0
P13,dj-center,4,0
P13,dj-center,5,1
P14,cmj-center,1,0
P14,cmj-center,2,0
P14,cmj-center,3,0
P14,cmj-center,4,0
P14,cmj-center,5,1
P14,dj-center,1,1
P14,dj-center,2,1
P14,dj-center,3,1
P14,dj-center,4,1
P14,dj-center,5,1
P15,cmj-center,1,0
P15,cmj-center,2,0
P15,cmj-center,3,0
P15,cmj-center,4,1
P15,cmj-center,5,0
P15,dj-center,1,1
P15,dj-center,2,1
P15,dj-center,3,1
P15,dj-center,4,1
P15,dj-center,5,0
P16,cmj-center,1,1
P16,cmj-center,2,1
P16,cmj-center,3,1
P16,cmj-center,4,1
P16,cmj-center,5,1
P16,dj-center,1,1
P16,dj-center,2,1
P16,dj-center,3,1
P16,dj-center,4,1
P16,dj-center,5,1
P17,cmj-center,1,1
P17,cmj-center,2,0
P17,cmj-center,3,0
P17,cmj-center,4,0
P17,cmj-center,5,1
P17,dj-center,1,1
P17,dj-center,2,0
P17,dj-center,3,0
P17,dj-center,4,0
P17,dj-center,5,0
P18,cmj-center,1,1
P18,cmj-center,2,0
P18,cmj-center,3,0
P18,cmj-center,4,0
P18,cmj-center,5,0
P18,dj-center,1,0
P18,dj-center,2,0
P18,dj-center,3,0
P18,dj-center,4,0
P18,dj-center,5,0
P19,cmj-center,1,1
P19,cmj-center,2,1
P19,cmj-center,3,0
P19,cmj-center,4,1
P19,cmj-center,5,0
P19,dj-center,1,1
P19,dj-center,2,1
P19,dj-center,3,0
P19,dj-center,4,1
P19,dj-center,5,1
P20,cmj-center,1,1
P20,cmj-center,2,0
P20,cmj-center,3,0
P20,cmj-center,4,0
P20,cmj-center,5,1
P20,dj-center,1,1
P20,dj-center,2,1
P20,dj-center,3,0
P20,dj-center,4,1
P20,dj-center,5,0
P21,cmj-center,1,0
P21,cmj-center,2,0
P21,cmj-center,3,0
P21,cmj-center,4,0
P21,cmj-center,5,0
P21,dj-center,1,0
P21,dj-center,2,0
P21,dj-center,3,1
P21,dj-center,4,0
P21,dj-center,5,0
P22,cmj-center,1,0
P22,cmj-center,2,0
P22,cmj-center,3,0
P22,cmj-center,4,0
P22,cmj-center,5,0
P22,dj-center,1,0
P22,dj-center,2,0
P22,dj-center,3,0
P22,dj-center,4,1
P22,dj-center,5,0
P23,cmj-center,1,0
P23,cmj-center,2,0
P23,cmj-center,3,0
P23,cmj-center,4,1
P23,cmj-center,5,0
P23,dj-center,1,0
P23,dj-center,2,0
P23,dj-center,3,0
P23,dj-center,4,0
P23,dj-center,5,0
P24,cmj-center,1,0
P24,cmj-center,2,0
P24,cmj-center,3,0
P24,cmj-center,4,0
P24,cmj-center,5,0
P24,dj-center,1,0
P24,dj-center,2,1
P24,dj-center,3,0
P24,dj-center,4,0
P24,dj-center,5,0
P25,cmj-center,1,1
P25,cmj-center,2,1
P25,cmj-center,3,1
P25,cmj-center,4,1
P25,cmj-center,5,1
P25,dj-center,1,1
P25,dj-center,2,1
P25,dj-center,3,1
P25,dj-center,4,1
P25,dj-center,5,1
P26,cmj-center,1,0
P26,cmj-center,2,0
P26,cmj-center,3,0
P26,cmj-center,4,0
P26,cmj-center,5,0
P26,dj-center,1,1
P26,dj-center,2,1
P26,dj-center,3,1
P26,dj-center,4,1
P26,dj-center,5,1
P27,cmj-center,1,0
P27,cmj-center,2,1
P27,cmj-center,3,0
P27,cmj-center,4,0
P27,cmj-center,5,0
P27,dj-center,1,0
P27,dj-center,2,0
P27,dj-center,3,1
P27,dj-center,4,0
P27,dj-center,5,0
P28,cmj-center,1,1
P28,cmj-center,2,1
P28,cmj-center,3,1
P28,cmj-center,4,1
P28,cmj-center,5,1
P28,dj-center,1,1
P28,dj-center,2,1
P28,dj-center,3,1
P28,dj-center,4,0
P28,dj-center,5,0
P29,cmj-center,1,0
P29,cmj-center,2,0
P29,cmj-center,3,0
P29,cmj-center,4,0
P29,cmj-center,5,0
P29,dj-center,1,0
P29,dj-center,2,0
P29,dj-center,3,1
P29,dj-center,4,1
P29,dj-center,5,1
P30,cmj-center,1,1
P30,cmj-center,2,0
P30,cmj-center,3,0
P30,cmj-center,4,0
P30,cmj-center,5,0
P30,dj-center,1,1
P30,dj-center,2,1
P30,dj-center,3,1
P30,dj-center,4,1
P30,dj-center,5,1
P30,dj-center,6,1
P31,cmj-center,1,1
P31,cmj-center,2,1
P31,cmj-center,3,1
P31,cmj-center,4,1
P31,cmj-center,5,0
P31,cmj-center,6,0
P31,dj-center,1,0
P31,dj-center,2,0
P31,dj-center,3,0
P31,dj-center,4,0
P31,dj-center,5,1
P32,cmj-center,1,1
P32,cmj-center,2,0
P32,cmj-center,3,1
P32,cmj-center,4,1
P32,cmj-center,5,0
P32,dj-center,1,0
P32,dj-center,2,0
P32,dj-center,3,0
P32,dj-center,4,1
P32,dj-center,5,1
P32,dj-center,6,0
P32,dj-center,7,1
P33,cmj-center,1,1
P33,cmj-center,2,1
P33,cmj-center,3,1
P33,cmj-center,4,0
P33,cmj-center,5,1
P33,dj-center,1,0
P33,dj-center,2,0
P33,dj-center,3,0
P33,dj-center,4,0
P33,dj-center,5,1
P34,cmj-center,1,1
P34,cmj-center,2,1
P34,cmj-center,3,0
P34,cmj-center,4,1
P34,cmj-center,5,1
P34,dj-center,1,1
P34,dj-center,2,1
P34,dj-center,3,1
P34,dj-center,4,1
P34,dj-center,5,1
P35,cmj-center,1,0
P35,cmj-center,2,1
P35,cmj-center,3,0
P35,cmj-center,4,1
P35,cmj-center,5,0
P35,cmj-center,6,1
P35,dj-center,1,1
P35,dj-center,2,1
P35,dj-center,3,1
P35,dj-center,4,1
P35,dj-center,5,0
P35,dj-center,6,0
P35,dj-center,7,1
P35,dj-center,8,1
P36,cmj-center,1,1
P36,cmj-center,2,0
P36,cmj-center,3,0
P36,cmj-center,4,0
P36,cmj-center,5,0
P36,dj-center,1,0
P36,dj-center,2,0
P36,dj-center,3,1
P36,dj-center,4,0
P36,dj-center,5,1
P37,cmj-center,1,1
P37,cmj-center,2,0
P37,cmj-center,3,0
P37,cmj-center,4,1
P37,cmj-center,5,1
P37,dj-center,1,0
P37,dj-center,2,0
P37,dj-center,3,1
P37,dj-center,4,0
P37,dj-center,5,1
P38,cmj-center,1,0
P38,cmj-center,2,0
P38,cmj-center,3,1
P38,cmj-center,4,0
P38,cmj-center,5,0
P38,dj-center,1,1
P38,dj-center,2,0
P38,dj-center,3,0
P39,cmj-center,1,1
P39,cmj-center,2,0
P39,cmj-center,3,0
P39,cmj-center,4,0
P39,cmj-center,5,0
P39,dj-center,1,1
P39,dj-center,2,0
P39,dj-center,3,0
P39,dj-center,4,0
P39,dj-center,5,0
P40,cmj-center,1,1
P40,cmj-center,2,1
P40,cmj-center,3,0
P40,cmj-center,4,1
P40,cmj-center,5,0
P40,dj-center,1,1
P40,dj-center,2,1
P40,dj-center,3,1
P40,dj-center,4,1
P40,dj-center,5,0
P41,cmj-center,1,1
P41,cmj-center,2,1
P41,cmj-center,3,0
P41,cmj-center,4,0
P41,cmj-center,5,0
P41,dj-center,1,1
P41,dj-center,2,1
P42,cmj-center,1,0
P42,cmj-center,2,1
P42,cmj-center,3,1
P42,cmj-center,4,0
P42,cmj-center,5,0
P42,dj-center,1,1
P42,dj-center,2,0
P42,dj-center,3,0
P42,dj-center,4,0
P42,dj-center,5,1
P43,cmj-center,1,0
P43,cmj-center,2,0
P43,cmj-center,3,1
P43,cmj-center,4,0
P43,cmj-center,5,1
P43,dj-center,1,0
P43,dj-center,2,0
P43,dj-center,3,0
P43,dj-center,4,1
P43,dj-center,5,1
P44,cmj-center,1,0
P44,cmj-center,2,0
P44,dj-center,1,1
P44,dj-center,2,1
P44,dj-center,3,0
P44,dj-center,4,0
P44,dj-center,5,0
P45,cmj-center,1,1
P45,cmj-center,2,1
P45,cmj-center,3,1
P45,cmj-center,4,1
P45,cmj-center,5,1
P45,dj-center,1,1
P45,dj-center,2,1
P45,dj-center,3,1
P45,dj-center,4,1
P45,dj-center,5,1
P46,cmj-center,1,0
P46,cmj-center,2,1
P46,cmj-center,3,0
P46,cmj-center,4,0
P46,cmj-center,5,0
P46,dj-center,1,0
P46,dj-center,2,1
P46,dj-center,3,0
P46,dj-center,4,0
P46,dj-center,5,0
P47,cmj-center,1,0
P47,cmj-center,2,1
P47,cmj-center,3,1
P47,cmj-center,4,1
P47,cmj-center,5,0
P47,dj-center,1,0
P47,dj-center,2,0
P47,dj-center,3,1
P47,dj-center,4,1
P47,dj-center,5,1
P48,dj-center,1,0
P48,dj-center,2,0
P48,dj-center,3,0
P48,dj-center,4,0
P48,dj-center,5,1
P49,cmj-center,1,0
P49,cmj-center,2,0
P49,cmj-center,3,0
P50,cmj-center,1,0
P50,cmj-center,2,1
P50,cmj-center,3,0
P51,cmj-center,1,1
P51,cmj-center,2,1
P51,cmj-center,3,1
P52,cmj-center,1,0
P52,cmj-center,2,0
P52,cmj-center,3,0
P53,cmj-center,1,1
P53,cmj-center,2,0
P53,cmj-center,3,0
P54,cmj-center,1,0
P54,cmj-center,2,1
P54,cmj-center,3,0
P55,cmj-center,1,0
P55,cmj-center,2,0
P55,cmj-center,3,0
P56,cmj-center,1,1
P56,cmj-center,2,1
P56,cmj-center,3,1
P57,cmj-center,1,0
P57,cmj-center,2,1
P57,cmj-center,3,1
P58,cmj-center,1,1
P59,cmj-center,1,0
P59,cmj-center,2,1
P59,cmj-center,3,0
P60,cmj-center,1,0
P60,cmj-center,2,0
P60,cmj-center,3,0
P61,cmj-center,1,0
P61,cmj-center,2,0
P61,cmj-center,3,0
P62,cmj-center,1,0
P62,cmj-center,2,0
P62,cmj-center,3,0
P63,cmj-center,1,0
P63,cmj-center,2,0
P63,cmj-center,3,1
P64,cmj-center,1,0
P64,cmj-center,2,0
P64,cmj-center,3,0
P65,cmj-center,1,0
P65,cmj-center,2,1
P65,cmj-center,3,1
P66,cmj-center,1,1
P66,cmj-center,2,0
P66,cmj-center,3,0
P67,cmj-center,1,0
P67,cmj-center,2,0
P67,cmj-center,3,0
P68,cmj-center,1,1
P68,cmj-center,2,1
P68,cmj-center,3,1
P69,cmj-center,1,1
P69,cmj-center,2,1
P69,cmj-center,3,0
P70,cmj-center,1,1
P70,cmj-center,2,1
P70,cmj-center,3,1
P71,cmj-center,1,0
P71,cmj-center,2,0
P71,cmj-center,3,1
P72,cmj-center,1,1
P72,cmj-center,2,0
P72,cmj-center,3,0
P73,cmj-center,1,1
P73,cmj-center,2,0
P73,cmj-center,3,0
P74,cmj-center,1,0
P74,cmj-center,2,0
P74,cmj-center,3,0
P75,cmj-center,1,1
P75,cmj-center,2,0
P75,cmj-center,3,0
P76,cmj-center,1,0
P76,cmj-center,2,0
P76,cmj-center,3,0
P77,cmj-center,1,0
P77,cmj-center,2,0
P77,cmj-center,3,0
P78,cmj-center,1,1
P78,cmj-center,2,1
P78,cmj-center,3,0
P79,cmj-center,1,1
P79,cmj-center,2,0
P79,cmj-center,3,0
P80,cmj-center,1,1
P80,cmj-center,2,1
P80,cmj-center,3,1
P81,cmj-center,1,0
P82,cmj-center,1,0
P82,cmj-center,2,1
P82,cmj-center,3,0
P83,cmj-center,1,0
P83,cmj-center,2,0
P83,cmj-center,3,0
P84,cmj-center,1,0
P84,cmj-center,2,1
P84,cmj-center,3,1
P85,cmj-center,1,0
P85,cmj-center,2,0
P85,cmj-center,3,0
P86,cmj-center,1,0
P86,cmj-center,2,1
P86,cmj-center,3,0
P87,cmj-center,1,1
P87,cmj-center,2,0
P87,cmj-center,3,1
P88,cmj-center,1,0
P88,cmj-center,2,0
P88,cmj-center,3,0
P89,cmj-center,1,0
P89,cmj-center,2,0
P89,cmj-center,3,0
